Timestamp	App	Log Level	Message
00:00:00.005	56	INFO		Updating device orientation from CoreMotion to: faceUp (5)
00:00:00.005	56	INFO		Effective device orientation changed to: faceUp (5)
00:00:00.006	52	INFO		Got a device orientation change, forwarding faceUp (5) to apps
00:00:00.006	49	INFO		calling continuityDidDiscoverType:Activity withData:<private> fromPeer:<private>
00:00:00.007	59	INFO		{"msg":"adapter details", "adapterDescription":"usb host", "batteryChargerType":"kChargerTypeUsb", "level":100}
00:00:00.029	49	INFO		calling continuityDidDiscoverType:Activity withData:<private> fromPeer:<private>
00:00:00.031	62	INFO		Created BKApplicationStateServerClient for [249:<private>] -> <private>
00:00:00.031	62	INFO		Removed BKApplicationStateServerClient for [249:<private>] -> <private>
00:00:00.031	65	INFO		handle_get_value: <private>
00:00:00.034	62	INFO		Created BKApplicationStateServerClient for [249:<private>] -> <private>
00:00:00.100	102	INFO		cert[0]: AnchorTrusted =(leaf)[force]> 0
00:00:00.101	102	INFO		cert[0]: NonEmptySubject =(path)[]> 0
00:00:00.102	102	INFO		cert[0]: AnchorTrusted =(leaf)[force]> 0
00:00:00.103	102	INFO		cert[0]: NonEmptySubject =(path)[]> 0
00:00:00.109	65	INFO		handle_start_service: <private>
00:00:00.110	65	INFO		handle_get_value: <private>
00:00:00.111	65	INFO		spawn_xpc_service: <private>
00:00:00.144	65	INFO		spawn_xpc_service_block_invoke: <private>
00:00:00.145	65	INFO		spawn_xpc_service_block_invoke: <private>
00:00:00.773	52	INFO		Icon touch began: <private>
00:00:00.774	52	INFO		Found a reasonable launch image for <private>, not pre-warming SplashBoard. Load image into the snapshot instance.
00:00:00.855	52	INFO		Icon tapped: <private>
00:00:00.865	102	INFO		cert[0]: SubjectCommonName =(leaf)[]> 0
00:00:00.866	102	INFO		cert[0]: LeafMarkerOid =(leaf)[]> 0
00:00:00.869	102	INFO		cert[0]: IssuerCommonName =(path)[]> 0
00:00:00.889	52	INFO		Activating <private> from icon
00:00:00.890	52	INFO		Executing request: <SBMainWorkspaceTransitionRequest: 0x281c6be00; eventLabel: SBUIApplicationIconLaunchEventLabel; display: Main; source: HomeScreen>
00:00:00.890	102	INFO		cert[0]: SubjectCommonName =(leaf)[]> 0
00:00:00.890	102	INFO		cert[0]: LeafMarkerOid =(leaf)[]> 0
00:00:00.891	102	INFO		cert[0]: IssuerCommonName =(path)[]> 0
00:00:00.948	52	INFO		Running <SBAppToAppWorkspaceTransaction: 0x105950650> for transition request:
00:00:01.044	52	INFO		Deactivating wallpaper orientation source ActiveOrientation
00:00:01.045	52	INFO		ENABLING ASYNCHRONOUS RENDERING ON: <private> (displayMode: LiveContent)
00:00:01.046	52	INFO		Disabling home screen icon rotation for reason: SBAppToAppWorkspaceTransaction
00:00:01.047	52	INFO		adding status bar settings assertion: <SBAppStatusBarSettingsAssertion: 0x283f44060> {
00:00:01.049	56	INFO		Setting minimum brightness level:0 with fade duration 0.4
00:00:01.049	56	INFO		setting CoreBrightness property:DisplayBrightnessFadePeriod to value:0.4
00:00:01.049	56	INFO		setting CoreBrightness property:BrightnessMinPhysicalWithFade to value:0
00:00:01.050	56	INFO		soft cancel on display:<main>
00:00:01.050	62	INFO		Submitting new job for "com.example.flutterCompare" on behalf of <BKProcess: 0x121d1bcd0; SpringBoard; com.apple.springboard; pid: 52; agency: SystemShell; visibility: foreground; task: running>
00:00:01.051	62	INFO		Submitted job with label: UIKitApplication:com.example.flutterCompare[0x5c1d][62]
00:00:01.051	62	INFO		_FGJetsamPriorityBand is 10 for <private>
00:00:01.051	62	INFO		[Runner:785] Adding client: <BKProcessInfoServerClient: 0x121d1fdf0; pid: 52>
00:00:01.052	62	INFO		[Runner:785] Setting jetsam priority to 10 [0x10000]
00:00:01.052	62	INFO		[Runner:785] setpriority(PRIO_DARWIN_ROLE, 785, 1): ok
00:00:01.052	52	INFO		Icon touch canceled (tap gesture may still succeed): <private>
00:00:01.055	52	INFO		SBIdleTimerGlobalCoordinator - _setIdleTimerWithDescriptor:<SBIdleTimerDescriptor: 0x283f3cde0; timerMode: Automatic; quickUnwarnInterval: 42.0s; warnInterval: 40.0s; totalInterval: 60.0s> reason:"SBAppDidEnterForeground"]
00:00:01.055	52	INFO		0x2810ab7f0 reconfigured attention timeouts:{
00:00:01.056	62	INFO		Now tracking process <BKProcess: 0x121e75100; Runner; com.example.flutterCompare; pid: 785; agency: Application; visibility: none; task: running; hostpid: 52> with host <BKProcess: 0x121d1bcd0; SpringBoard; com.apple.springboard; pid: 52; agency: SystemShell; visibility: foreground; task: running>
00:00:01.056	62	INFO		[Runner:785] workspaceConnectedWithTaskPortRight: received task port
00:00:01.057	52	INFO		setting configuration:<AWAttentionAwarenessConfiguration: 0x2810880f0> (identifier: com.apple.springboard.GlobalBacklightIdleTimer samplingInterval:       0.00000 samplingDelay:       0.00000 attentionLostTimeouts:      42.00000,      40.00000,      60.00000 mask Button|Keyboard|Digitizer|GameController|MesaTouch|GenericGesture tagIndex 1301 (tag 1301))
00:00:01.058	52	INFO		Application process state changed for com.example.flutterCompare: <SBApplicationProcessState: 0x28335c420; pid: 785; taskState: Running; visibility: Unknown>
00:00:01.082	76	INFO		#I BundleID: <private> is a foreground app
00:00:01.087	62	INFO		[SpringBoard:52] Attempting to acquire assertion for Runner:785: <BKProcessAssertion: 0x121e0ead0; "UIApplicationLaunch" (activation:inf); id:\M-b\M^@\M-&D603D56C5B0D>
00:00:01.088	62	INFO		[Runner:785] Add assertion: <BKProcessAssertion: 0x121e0ead0; id: 52-36A7E324-4B78-44A1-9C7E-D603D56C5B0D; name: UIApplicationLaunch; state: active; reason: activation; duration: infs> {
00:00:01.088	62	INFO		[Runner:785] Activate assertion: <BKProcessAssertion: 0x121e0ead0; "UIApplicationLaunch" (activation:inf); id:\M-b\M^@\M-&D603D56C5B0D>
